watch_name,type_gender,brand,watch_color,watch_size,length_of_band,price
Gucci Steel Watch (133.5),F,Gucci,steel,15.0,29.0,400.0
Gucci Diamond Steel Watch (126.4),M,Gucci,steel,16.0,3.0,470.0
IWC Portuguese Chrono Steel Watch (IW371447),M,IWC,black,18.0,41.0,4700.0
Tag Heuer Aquaracer Steel Watch (WAY1310),F,Tagheuer,steel,13.0,33.0,620.0
Hublot Big Bang Chrono Ceramic Watch (301.C1.1770.RX),M,HUBLOT,blue,17.0,42.0,9400.0
Chanel J12 Ceramic Watch,Both,Chanel,black,14.0,39.0,3850.0
Tag Heuer Aquaracer Steel Watch (WBD2112-0),M,Tagheuer,steel,17.0,4.0,1650.0
Zenith Vintage 1965 Steel Watch,M,ZENITH,black,20.0,33.0,2350.0
IWC Portupino 8 Days Steel Watch (IW510103),M,IWC,brown,21.0,45.0,6850.0
Chanel Premier Steel Watch,F,Chanel,steel,15.0,23.0,2300.0
Tudor Glamor Diamond Steel Watch (56000),M,TUDOR,steel,16.0,39.0,2600.0
Maurice Lacroix Icon Chrono Steel Watch (AI1018),M,Maurice Lacroix,steel,16.0,43.0,650.0
Gucci Steel Watch (126.4),M,Gucci,steel,16.0,38.0,600.0
Rolex Daytona Chrono Gold Watch (116505),M,Rolex,other,16.0,40.0,65000.0
Hermes Belt Steel Watch (BE1.110),F,Hermes,steel,15.0,24.0,1100.0
Rolex GMT Master 2 Steel Watch (126710BLNR),M,Rolex,steel,17.0,40.0,23800.0
IWC Portofino Moonphase Diamond Steel Watch (IW459008),F,IWC,blue,17.0,37.0,9900.0
Chanel Matrazé Steel Watch,F,Chanel,steel,15.0,19.0,950.0
Tag Heuer Aquaracer Steel Watch (WAF1410),F,Tagheuer,steel,14.0,28.0,680.0
Bulgari BB Carbon Chrono Watch (BB38CLCH),M,Bvlgari,black,17.0,38.0,2000.0
Cartier American Tank Watch,F,Cartier,black,17.0,23.0,4000.0
Ulysse Nardin Marine Chrono Steel Watch (1553-155/43),M,ULYSSE NARDIN,blue,18.0,44.0,12000.0
Cartier Panther Steel Watch (WSPN0006),F,Cartier,steel,15.0,26.0,4200.0
Omega Seamaster Planet Ocean Steel Watch,M,OMEGA,steel,18.0,42.0,2950.0
Rolex Combi Diamond Watch (279173),F,Rolex,yellow combination,14.0,28.0,15300.0
Hermes H Hour Two Strap Watch (HH1.201e),F,Hermes,brown,15.0,21.0,2200.0
IWC Portuguese Chrono Steel Watch (IW371445),M,IWC,brown,18.0,41.0,5900.0
Gucci Steel Watch (5500L),F,Gucci,steel,17.0,27.0,200.0
Cartier Tank American Gold Watch,M,Cartier,black,20.0,36.0,6000.0
Rolex Combi Watch (279173),F,Rolex,yellow combination,14.0,28.0,13800.0
Rolex Milgauss Steel Watch (116400GV),M,Rolex,steel,16.0,40.0,13000.0
Bulgari B.zero1 Diamond Steel Watch (BZ22S),F,Bvlgari,other,15.0,22.0,1250.0
IWC Mark 18 Little Prince Steel Watch (IW327010),M,IWC,brown,19.0,40.0,4000.0
Breitling Colt Chrono Steel Watch (A73387),M,BREITLING,steel,18.0,43.0,2000.0
Cartier American Tank Gold Watch,F,Cartier,black,15.0,27.0,4600.0
Rolex Daytona Steel Watch (116520),M,Rolex,steel,15.0,40.0,52000.0
Rolex Submariner Steel Watch (126610LV),M,Rolex,steel,18.0,41.0,25000.0
Christian Dior Marlis Diamond Steel Watch (D78-1091),F,Christian Dior,steel,14.0,22.5,540.0
Hermes H Hour Two Strap Gold Plated Watch (HH1.101),F,Hermes,brown,15.0,20.5,1760.0
Chanel J12 Ceramic Watch (H0968),F,Chanel,white,14.0,34.0,5000.0
Vacheron Constantin Ezeri Diamond Gold Watch (25541/000G-9109),F,Vacheron constantin,grey,18.0,19.5,23900.0
Breguet Reine de Naples Moonphase Diamond Gold Watch (8908BB),F,Breguet,black,14.0,33.0,33800.0
Gucci Steel Watch (126.4),M,Gucci,other,22.0,38.0,310.0
Bulgari Serpenti Tubogas Combi Watch (SP35SPG),F,Bvlgari,pink combination,15.0,29.0,11000.0
Tag Heuer Carrera Chrono Steel Watch (CV2A1R),M,Tagheuer,steel,17.0,44.0,2800.0
Omega Constellation Dia Steel Watch,F,OMEGA,steel,15.0,23.0,1400.0
Cartier Longe Solo Steel Watch,M,Cartier,black,18.0,36.0,2200.0
Hermes H Hour Steel Watch (HH1.210),F,Hermes,other,16.0,25.5,1750.0
IWC Pilot Little Prince Edition Chrono Steel Watch (IW377717),M,IWC,brown,21.0,43.0,5500.0
Burberry Gold Plated Watch (BU4055),F,BURBERRY,other,16.0,34.0,150.0
Rolex Steel Watch (16014),M,Rolex,steel,16.0,36.0,6000.0
Bulgari BB Gold Watch (BB33GL),F,Bvlgari,brown,19.0,33.0,2200.0
Cartier Solo Tank Steel Watch,F,Cartier,brown,16.0,27.5,2500.0
Omega Constellation Combi Watch (123.20.27),F,OMEGA,pink combination,14.0,27.0,2500.0
Gucci Steel Watch (103),F,Gucci,steel,15.0,22.0,220.0
Rolex Daytona Combi Watch (116503),M,Rolex,navy,16.0,40.0,29800.0
Cartier Tank Solo Gold Watch,F,Cartier,brown,16.0,27.5,5850.0
Tudor Black Bay Steel Chrono Watch (79360N),M,TUDOR,steel,18.0,41.0,5000.0
Tudor Black Bay Combi Chrono Watch (79363N),M,TUDOR,yellow combination,19.0,41.0,6000.0
Patek Philippe Calatrava Gold Watch,M,PATEK PHILIPPE,brown,19.0,37.0,27900.0
Cartier Panther Combi Watch (Small),F,Cartier,yellow combination,16.0,22.0,7000.0
Rolex Datejust 10P Diamond Combi Watch (68273),F,Rolex,yellow combination,14.0,31.0,7500.0
TAG Heuer Carrera Chrono Steel Watch (CV2014-3),M,Tagheuer,steel,17.0,41.0,1600.0
Hermes H Hour Diamond Watch (HH1.236),F,Hermes,other,16.0,21.0,10000.0
Gucci Combi Chrono Watch (101.2),M,Gucci,black,19.0,44.0,650.0
Cartier Must Tank Diamond Watch (Small),F,Cartier,black,16.0,22.0,7500.0
Rolex Combi Diamond Watch (116233),M,Rolex,yellow combination,18.0,36.0,13500.0
Omega Seamaster Planet Ocean Steel Watch (215.30.44),M,OMEGA,steel,17.0,44.0,4900.0
Gucci Diamond Steel Watch (112),F,Gucci,steel,15.0,17.0,500.0
Omega Constellation Diamond Steel Watch (123.12.35),F,OMEGA,white,17.0,35.0,2500.0
Rolex Combi Diamond Watch (116231),M,Rolex,pink combination,18.0,36.0,16000.0
Chanel Boyfriend Steel Watch (H4878),F,Chanel,steel,16.0,31.0,4500.0
Van Kleep & Arpels Alhambra Diamond Gold Watch (ARN5HZ00),F,Van Cleef & Arpels,black,16.0,30.0,21800.0
Gucci Steel Watch (126.5),F,Gucci,steel,14.0,27.0,300.0
Hermes H Hour Steel Watch (HH1.210),F,Hermes,white,15.0,25.5,1600.0
Rolex Combi Diamond Watch (116231),M,Rolex,pink combination,16.0,36.0,16500.0
Rolex Datejust 10P Diamond Combi Watch (179171),F,Rolex,pink combination,14.0,26.0,11000.0
Tag Heuer Carrera Chrono Steel Watch (CBM2112-0),M,Tagheuer,steel,16.0,42.0,2900.0
Longines Symphonette Steel Watch,F,LONGINES,steel,14.0,20.5,800.0
Fendi Steel Watch (3800L),F,Fendi,other,16.0,27.5,250.0
Tag Heuer Carrera GMT Steel Watch (WAR201Z),M,Tagheuer,steel,18.0,41.0,1780.0
Rolex Oyster Perpetual Steel Watch (277200),F,Rolex,steel,15.0,31.0,7000.0
Cartier Ballon Bleu Combi Watch (Small),F,Cartier,steel,13.0,28.0,4900.0
Cartier Ballon Bleu Steel Watch (W69011Z4),Both,Cartier,steel,16.0,36.0,4300.0
Gucci Gold Plated Watch (126.4),M,Gucci,brown,20.0,38.0,405.0
Rolex Submariner Steel Watch (116610LN),M,Rolex,steel,16.0,40.0,15500.0
Rolex GMT Master 2 Steel Watch (126710BLNR),M,Rolex,steel,18.0,40.0,32000.0
Vacheron Constantin Traditional Gold Watch,M,Vacheron constantin,black,19.0,38.0,23500.0
Chanel J12 Diamond Ceramic Watch,M,Chanel,white,15.0,39.0,4500.0
Hermes H Hour Two Strap Gold Plated Watch (HH1.101),F,Hermes,brown,15.0,21.0,1890.0
Bulgari B.zero1 Steel Watch (BZ30S),F,Bvlgari,white,14.0,30.0,1200.0
Cartier Must Vermeil Round Gold Plated Watch,F,Cartier,black,15.0,24.0,1500.0
Gucci Steel Watch (3600L),F,Gucci,steel,13.0,22.5,260.0
Cartier Ballon Blanc Gold Diamond Watch (Medium),F,Cartier,grey,16.0,30.0,8500.0
Omega Seamaster Diver300 Steel Watch,M,OMEGA,steel,18.0,41.0,3500.0
Hermes Cape Cod Diamond Steel Watch (CC1.330),F,Hermes,grey,16.0,28.0,11520.0
Bulgari BB tricolor aluminum watch (BB40AT),M,Bvlgari,blue,20.0,40.0,2300.0
Rolex Datejust Diamond Combi Watch (279171),F,Rolex,pink combination,15.0,28.0,21500.0
Omega Seamaster Aqua Terra Steel Watch (220.10.41),M,OMEGA,steel,18.0,41.0,4500.0
Franck Muller Long Island Diamond Gold Watch (902QZD),F,Franck Muller,other,16.0,27.5,9200.0
Gucci Combi Watch (126.4),M,Gucci,other,18.0,38.0,950.0
Rolex Steel Diamond Watch (116234),M,Rolex,steel,15.0,36.0,10500.0
Hamilton Jazzmaster Maestro Chrono Steel Watch,M,,brown,18.0,41.0,650.0
Van Kleep & Arpels Sweet Alhambra Gold Watch (ARO8WT00),F,Van Cleef & Arpels,blue,16.0,23.0,11100.0
Rolex Combi Diamond Watch (179173),F,Rolex,yellow combination,14.0,26.0,10000.0
Rolex GMT Master 2 Steel Watch (116710LN),M,Rolex,steel,15.0,40.0,17900.0
Fendi Steel Watch (6000G),F,Fendi,steel,16.0,27.0,290.0
IWC Portofino Diamond Steel Watch (IW458101),F,IWC,other,17.0,37.0,4237.0
Hublot Big Bang Diamond Steel Watch (361.SX.7170.LR.1204),F,HUBLOT,blue,16.0,38.0,10830.0
Rolex Milgauss Steel Watch (116400GV),M,Rolex,steel,17.0,40.0,13500.0
Panerai Submersible Titanium Watch (PAM01305),M,PANERAI,black,22.0,47.0,8800.0
Cartier Ballon Bleu Steel Watch (W69010Z4),F,Cartier,steel,13.0,28.0,3700.0
Cartier Santos Dumont Combi Watch (W2SA0011),Both,Cartier,black,17.0,37.5,5400.0
Rolex Yachtmaster 2 Combi Watch (116681),M,Rolex,pink combination,17.0,43.0,28000.0
Gucci Diamond Watch (117.5),F,Gucci,other,17.0,27.0,420.0
Tag Heuer Formula 1 Chrono Steel Watch (CAZ101AC),M,Tagheuer,steel,18.0,43.0,1100.0
Omega Speedmaster Chrono Steel Watch,M,OMEGA,steel,17.0,39.0,2470.0
Rolex GMT Master Steel Watch (16700),M,Rolex,steel,17.0,40.0,16500.0
Cartier Mini Benoit Diamond Watch,F,Cartier,other,14.0,22.0,27000.0
Rolex Submariner Steel Watch (126610),M,Rolex,steel,14.0,41.0,25900.0
Rolex Seedweller Steel Watch (16600),M,Rolex,steel,16.0,40.0,11200.0
Rolex Skydweller Steel Watch (326934),M,Rolex,steel,18.0,41.0,34500.0
Rolex Datejust Combi Watch (126233),F,Rolex,yellow combination,16.0,36.0,16200.0
Rolex Submariner Steel Watch (116610),M,Rolex,steel,17.0,40.0,17200.0
Rolex Datejust Diamond Combi Watch (279173),F,Rolex,yellow combination,13.0,28.0,16800.0
Rolex Date Steel Watch (15200),Both,Rolex,steel,15.0,34.0,4600.0
Rolex Skydweller Combi Watch (326933),F,Rolex,yellow combination,16.0,42.0,25900.0
Rolex Combi Diamond Watch (179173),F,Rolex,yellow combination,14.0,26.0,11700.0
Rolex Combi Watch (126233),M,Rolex,yellow combination,15.0,36.0,17200.0
Rolex Combi Diamond Watch (179173),F,Rolex,yellow combination,15.0,26.0,12300.0
Rolex Gold Diamond Watch (179175F),F,Rolex,other,16.0,26.0,25500.0
Rolex Datejust Combination Watch (16233),M,Rolex,yellow combination,18.0,36.0,6600.0
Rolex Datejust Combination Watch (279171),F,Rolex,pink combination,14.0,28.0,13800.0
Cartier Pasha Steel Watch (WSPA0010),M,Cartier,other,18.0,41.0,5150.0
Hermes Nantucket Diamond Steel Watch (NA3.230),F,Hermes,blue,17.0,32.0,5500.0
Cartier Solo Tank Steel Watch,M,Cartier,steel,16.0,31.0,3000.0
Cartier Divan Diamond Gold Watch,F,Cartier,green,17.0,28.5,11500.0
Rolex Datejust 10P Diamond Steel Watch (116234),M,Rolex,steel,17.0,36.0,11100.0
Rolex Datejust 10P Diamond Combi Watch (178271),F,Rolex,pink combination,13.0,31.0,12300.0
Jaeger Lecoultre Reverso Classic Steel Watch (Q2618540),F,Jaeger leCoultre,blue,16.0,28.0,4300.0
Rolex Combi Diamond Watch (278243),F,Rolex,yellow combination,15.0,31.0,12300.0
Hermes H Hour Gold Plated Watch (HH1.201),F,Hermes,brown,16.0,25.5,1290.0
Omega Constellation Dia Steel Watch,F,OMEGA,steel,14.0,24.0,1250.0
Chopard Happy Sports Moving Diamond Steel Watch,F,Chopard,steel,14.0,26.0,2500.0
Cartier Longe Solo Steel Watch,F,Cartier,black,16.0,29.0,2000.0
IWC Portupino Chrono Steel Watch (IW391019),M,IWC,other,18.0,42.0,4100.0
IWC Portuguese Chrono Steel Watch (IW371609),M,IWC,black,18.0,4.0,7200.0
TAG Heuer Carrera Steel Watch (WAS2110),M,Tagheuer,steel,16.0,3.0,1100.0
Fendi Diamond Steel Watch (3800G),F,Fendi,other,16.0,23.5,350.0
Hermes H Hour Gold Plated Watch (HH1.101),F,Hermes,brown,16.0,17.0,1700.0
Tag Heuer Aquaracer Gold Plated Combination Watch (WAY1422),F,Tagheuer,other,14.0,2.0,800.0
Omega Deville Steel Watch,F,OMEGA,steel,14.0,2.0,700.0
Tag Heuer Formula 1 Chrono Steel Watch (CAZ2012-0),M,Tagheuer,steel,17.0,4.0,1700.0
IWC Portuguese Chrono Steel Watch (IW371438),M,IWC,other,19.0,4.0,4850.0
Breitling Colt Steel Watch (A17388),M,BREITLING,steel,17.0,43.0,2100.0
Omega Deville Diamond Steel Watch (424.10.27),F,OMEGA,steel,15.0,2.0,1750.0
Breitling Superocean Steel Watch (A17390),M,BREITLING,steel,20.0,4.0,2000.0
Jaeger Lecoultre Master Control Steel Watch,M,Jaeger leCoultre,black,17.0,3.0,7000.0
Tag Heuer Aquaracer Steel Watch (WAY2013),M,Tagheuer,steel,17.0,4.0,1400.0
Omega Seamaster Aqua Terra Steel Watch (231.10.39),M,OMEGA,steel,16.0,3.0,3600.0
Gucci Diamond Steel Watch (126.5),F,Gucci,steel,14.0,2.0,400.0
Omega Constellation Diamond Steel Watch (123.10.24),F,OMEGA,steel,14.0,2.0,1600.0
Cartier Claire Steel Watch,F,Cartier,other,14.0,3.0,3200.0
TAG Heuer Carrera Chrono Steel Watch (CV2014-2),M,Tagheuer,steel,18.0,4.0,2000.0
Hublot Classic Fusion Titanium Watch,M,HUBLOT,black,18.0,3.0,6500.0
Cartier Ballon Bleu Steel Watch (Medium),F,Cartier,steel,16.0,33.0,5900.0
Ferragamo Gancini watches,M,Ferragamo,other,16.0,34.0,625.0
Chanel Code Coco Steel Diamond Watch (H5144),F,Chanel,steel,15.0,21.0,3000.0
IWC Portupino Steel Watch (IW356506),M,IWC,steel,17.0,40.0,3900.0
Rolex Datejust Diamond Combi Watch (126233),M,Rolex,yellow combination,16.0,36.0,20500.0
Rolex Combi Watch (279173),F,Rolex,yellow combination,12.0,28.0,14000.0
Rolex Submariner Combi Watch (116613LB),M,Rolex,yellow combination,16.0,40.0,19200.0
Rolex Combi Watch (116333),M,Rolex,yellow combination,16.0,41.0,15100.0
Cartier Pasha Steel Watch (WSPA0010),M,Cartier,grey,19.0,41.0,5800.0
Rolex Datejust Combi Watch (116233),M,Rolex,yellow combination,18.0,36.0,11100.0
Rolex GMT Master 2 Steel Watch (116710BLNR),F,Rolex,steel,17.0,40.0,20500.0
Rolex Day Date Diamond Gold Watch (228235),M,Rolex,other,16.0,40.0,69000.0
Vacheron Constantin Overseas Chrono Steel Watch (5500V/110A-B148),M,Vacheron constantin,steel,16.0,42.0,55000.0
Rolex Datejust Combination Watch (179173),F,Rolex,yellow combination,15.0,26.0,9300.0
Van Kleep & Arpels Alhambra Gold Watch,F,Van Cleef & Arpels,black,16.0,26.0,7200.0
Jaeger Lecoultre Master Control Gold Watch,M,Jaeger leCoultre,brown,19.0,37.0,16300.0
Hermes H Hour Two Strap Steel Watch (HH1.210),F,Hermes,other,16.0,25.5,1900.0
Bvlgari BB Catené Diamond Gold Watch (BBCP22G),F,Bvlgari,other,13.0,22.0,12000.0
Breitling Navitimer Chrono Steel Watch (AB0120),M,BREITLING,black,18.0,43.0,6800.0
Cartier Ballon Blanc Diamond Gold Watch (WGBL0005),F,Cartier,grey,17.0,30.0,8800.0
Rolex Yachtmaster Gold Watch (268655),Both,Rolex,black,13.0,37.0,31500.0
Rolex Datejust 10P Diamond Steel Watch (178274),F,Rolex,steel,14.0,31.0,12200.0
Rolex Steel Diamond Watch (126234),M,Rolex,steel,17.0,36.0,14300.0
Bulgari Asioma Gold Watch (AAP31G),F,Bvlgari,black,14.0,24.0,3840.0
Rolex Explorer 2 Steel Watch (16570),F,Rolex,steel,17.0,39.0,10000.0
Rolex Oyster Perpetual Steel Watch (124300),M,Rolex,steel,16.0,40.0,19200.0
Rolex Submariner Steel Watch (126610LV),M,Rolex,steel,18.0,41.0,27300.0
Rolex 10P Diamond Combi Watch (126233),Both,Rolex,yellow combination,15.0,3.0,18000.0
Rolex 10P Diamond Combi Watch (126281),Both,Rolex,pink combination,18.0,3.0,23800.0
Rolex Submariner Steel Watch (126610LV),M,Rolex,steel,19.0,41.0,28000.0
Rolex Seedweller Deepsea Steel Watch (126660),M,Rolex,steel,18.0,44.0,18700.0
Rolex Daytona Chrono Gold Watch (116509),M,Rolex,other,18.0,40.0,68000.0
Rolex Submariner Combination Watch (116613),M,Rolex,yellow combination,18.0,4.0,18900.0
Rolex Datejust 10P Diamond Combi Watch (279173),F,Rolex,yellow combination,14.0,28.0,16300.0
Rolex Datejust Steel Watch (126334),M,Rolex,steel,19.0,41.0,18800.0
Rolex Submariner Steel Watch (116610),M,Rolex,steel,17.0,40.0,14900.0
Rolex Datejust Steel Watch (278240),F,Rolex,steel,15.0,31.0,10800.0
Rolex Datejust Diamond Combi Watch (278341),F,Rolex,pink combination,16.0,31.0,18300.0
Rolex Datejust Combination Watch (116333),M,Rolex,yellow combination,17.0,41.0,15100.0
Rolex Submariner Steel Watch (116610LN),M,Rolex,steel,16.0,40.0,12700.0
Rolex Daytona Chrono Gold Watch (116508),M,Rolex,yellow gold,15.0,40.0,99000.0
Rolex Datejust Steel Watch (279160),F,Rolex,steel,14.0,28.0,6400.0
Rolex Datejust Combination Watch (126233),M,Rolex,yellow combination,18.0,36.0,15800.0
Bulgari BB Gold Watch (BB26GL),F,Bvlgari,black,17.0,2.0,1700.0
Hublot Big Bang diamond watch,Both,HUBLOT,black,15.0,38.0,9800.0
Cartier Captive Diamond Gold Watch,F,Cartier,other,15.0,35.0,15900.0
Bulgari Serpenti Combi Watch (SP35SPG),F,Bvlgari,pink combination,15.0,23.0,9500.0
Cartier Must Tank Watch,F,Cartier,brown,15.0,22.0,2300.0
Rolex Steel Watch (177200),F,Rolex,steel,17.0,31.0,5300.0
Rolex Gold Diamond Watch (179179),F,Rolex,other,15.0,26.0,18700.0
Rolex Combi Diamond Watch (116203),M,Rolex,other,18.0,36.0,11900.0
Cartier Ballon Bleu Steel Watch (Large),M,Cartier,steel,19.0,42.0,6000.0
Cartier Longe Steel Watch (XL),M,Cartier,steel,18.0,42.0,3500.0
Rolex Datejust 10P Diamond Combi Watch (126231),M,Rolex,pink combination,17.0,36.0,17000.0
Cartier Santos Combi Watch (Small),F,Cartier,yellow combination,15.0,23.0,3800.0
Cartier Ballon Bleu Combi Diamond Watch (Small),F,Cartier,pink combination,13.0,28.0,8400.0
Hublot Big Bang Diamond Steel Watch,F,HUBLOT,white,16.0,38.0,9500.0
chanel lahonde watch,F,Chanel,black,15.0,29.0,850.0
Cartier Small Tank Francaise Gold Watch,F,Cartier,yellow gold,16.0,22.5,11000.0
IWC Portupino Steel Watch (IW356502),M,IWC,black,18.0,40.0,3200.0
Cartier Ballon Bleu Steel Watch (W69011Z4),F,Cartier,steel,15.0,36.0,3700.0
Ferragamo diamond gold-plated combination watch,Both,Ferragamo,other,17.0,40.0,500.0
Rolex Daytona Chrono Steel Watch (116500LN),M,Rolex,steel,17.0,40.0,35000.0
Rolex Seedweller Combi Watch (126603),M,Rolex,yellow combination,19.0,43.0,22500.0
Omega Seamaster Diver 300M Steel Watch (210.30.42),M,OMEGA,steel,16.0,42.0,4800.0
Rolex Datejust Combination Watch (279171),F,Rolex,pink combination,15.0,28.0,13500.0
Zenith Defy Elprimero21 Chrono Titanium Watch (95.9000.9004),M,ZENITH,black,19.0,45.0,10500.0
Hermes H Hour Steel Watch (HH1.810),M,Hermes,other,18.0,36.0,1600.0
IWC Pilot Chrono Steel Watch (IW377710),M,IWC,steel,17.0,43.0,5200.0
Rolex Day-Date Gold Watch (18038),M,Rolex,yellow gold,16.0,36.0,20000.0
Van Cleef & Arpels Charm Gold Diamond Watch,F,Van Cleef & Arpels,grey,19.0,32.0,12000.0
Cartier Tank Francaise Steel Watch (W51008Q3),F,Cartier,steel,14.0,22.5,2300.0
Cartier Claire de Steel Watch (WSCL0007),M,Cartier,steel,16.0,41.0,4300.0
Gucci Steel Watch (112),F,Gucci,steel,17.0,16.0,420.0
Rolex Datejust 10P Diamond Gold Watch (179178),F,Rolex,yellow gold,14.0,26.0,19950.0
Breitling Superocean Heritage Combination Watch (UB2010),M,BREITLING,steel,17.0,42.0,6000.0
Chanel J12 Ceramic Watch,F,Chanel,white,13.0,33.0,7500.0
Tag Heuer Formula 1 Steel Watch (WAZ111A),M,Tagheuer,steel,17.0,41.0,1000.0
Rolex Datejust Diamond Combi Watch (279171),F,Rolex,pink combination,13.0,28.0,19000.0
Cartier Ballon Bleu Steel Watch,F,Cartier,black,19.0,33.0,3850.0
Tiffany Atlas Steel Watch,F,Tiffany,steel,16.0,29.0,850.0
Rolex Datejust 10P Diamond Combi Watch (116233),M,Rolex,yellow combination,17.0,36.0,11000.0
Hermes H Hour Gold Plated Watch (HH1.201),F,Hermes,black,16.0,25.5,2500.0
Cartier Ballon Bleu Steel Watch (Medium),Both,Cartier,steel,13.0,36.0,4200.0
Hermes Cape Cod Two Strap Steel Watch (CC1.210),F,Hermes,brown,14.0,28.0,2500.0
Breitling Superocean Steel Watch (Y17393),M,BREITLING,steel,17.0,44.0,3000.0
Jaeger Lecoultre Polaris Chrono Steel Watch (Q9028480),M,Jaeger leCoultre,brown,18.0,42.0,8000.0
Rolex Datejust Steel Watch (278274),F,Rolex,steel,17.0,31.0,12500.0
Rolex Datejust 10P Diamond Combi Watch (16233),M,Rolex,yellow combination,18.0,36.0,7200.0
Rolex Datejust 10P Diamond Combi Watch (179173),F,Rolex,yellow combination,15.0,26.0,10500.0
Gucci Diamond Gold Plated Watch (125.5),F,Gucci,other,15.0,23.0,350.0
Hublot Big Bang Gold Chrono Watch,M,HUBLOT,black,20.0,44.0,23500.0
Cartier Ballon Blanc Diamond Gold Watch (WGBL0005),F,Cartier,grey,17.0,30.0,8400.0
Rolex Steel Diamond Watch (126284RBR),M,Rolex,steel,17.0,36.0,20000.0
Rolex Submariner Steel Watch (116610LV),M,Rolex,steel,18.0,40.0,26000.0
Rolex Combi Diamond Watch (179171),F,Rolex,pink combination,14.0,26.0,13000.0
Omega Deville Diamond Combi Watch (424.20.27),F,OMEGA,brown,16.0,27.0,2800.0
Rolex Combi Diamond Watch (279173),F,Rolex,yellow combination,16.0,28.0,17000.0
Chanel Boyfriend Diamond Steel Watch (H6586),F,Chanel,black,16.0,25.0,7200.0
Cartier Ballon Bleu Steel Watch (W69010Z4),F,Cartier,steel,16.0,28.0,4300.0
Breitling Superocean Heritage 2 Steel Watch (AB2010),M,BREITLING,steel,16.0,42.0,4000.0
Tag Heuer Carrera Steel Watch (WAR201C-1),M,Tagheuer,steel,17.0,41.0,1800.0
Rolex Daytona Combi Watch (116523),M,Rolex,yellow combination,18.0,40.0,25500.0
Chaumé Liens Steel Diamond Watch,F,Chaumet,steel,16.0,29.0,2500.0
Cartier Fender Steel Watch (WSPN0007),F,Cartier,steel,14.0,32.0,4600.0
Montblanc Bohème Moonphase Diamond Watch,F,MontBlanc,black,16.0,27.0,1450.0
Chanel Code Coco Steel Diamond Watch,F,Chanel,steel,17.0,28.0,3250.0
Cartier Captive Diamond Gold Watch,F,Cartier,white,16.0,27.0,12800.0
Piaget Emperado Gold Watch,M,Piaget,brown,19.0,24.5,18100.0
Bvlgari BB Catenet Gold Watch (BBCP31G),F,Bvlgari,other,16.0,31.0,16800.0
Rolex Datejust Diamond Combi Watch (126283),M,Rolex,yellow combination,18.0,36.0,28000.0
Rolex Datejust Steel Watch (279174),F,Rolex,steel,15.0,28.0,10000.0
Burberry Steel Watch (BU1351),F,BURBERRY,steel,14.0,28.0,150.0
Tag Heuer Carrera Steel Chrono Watch (CV2A1R),M,Tagheuer,steel,19.0,44.0,2900.0
Cartier Ballon Blanc Diamond Gold Watch,F,Cartier,other,17.0,30.0,8800.0
Tag Heuer Aquaracer Chrono Steel Watch (CAY2112-2),M,Tagheuer,steel,18.0,44.0,1900.0
Rolex Submariner Combi Watch (116613LN),M,Rolex,yellow combination,17.0,40.0,18200.0
Cartier Solo Tank Steel Watch,Both,Cartier,other,17.0,31.0,2500.0
Breguet Classic Gold Watch (5207),M,Breguet,brown,18.0,40.0,16900.0
Cartier Pasha Steel Watch (WSPA0012),F,Cartier,black,16.0,35.0,5000.0
IWC Da Vinci Moonphase Steel Watch (IW459306),F,IWC,other,18.0,36.0,5800.0
Breitling Navitimer Chrono Combi Watch (UB0127),M,BREITLING,brown,18.0,45.0,8500.0
Rolex Datejust 10P Diamond Combi Watch (179171),F,Rolex,pink combination,15.0,26.0,13100.0
Rolex Daytona Chrono Combi Watch (116503),M,Rolex,yellow combination,18.0,40.0,30000.0
Rolex Steel Watch (176210),F,Rolex,steel,15.0,2.0,4100.0
IWC Portuguese 7 Days Steel Watch,M,IWC,black,18.0,4.0,7200.0
Vacheron Constantin Patrimony Platinum Watch (1110U/000P-B306),M,Vacheron constantin,navy,16.0,4.0,36500.0
Rolex Datejust Combination Watch (279173),F,Rolex,yellow combination,15.0,28.0,13000.0
Rolex Yachtmaster 2 Chrono Combi Watch (116681),M,Rolex,pink combination,18.0,43.0,32800.0
Rolex Daytona Chrono Combi Watch (16523),M,Rolex,yellow combination,18.0,40.0,20200.0
Rolex Submariner Steel Watch (116610LV),M,Rolex,steel,19.0,40.0,26500.0
Rolex Gold Diamond Watch (179179),F,Rolex,other,15.0,26.0,18500.0
Hermes H Hour Diamond Steel Watch (HH1.110),F,Hermes,brown,14.0,17.0,2200.0
Gucci Steel Watch (126.5),F,Gucci,steel,15.0,2.0,400.0
Montblanc Star Moonphase Steel Watch (113645),M,MontBlanc,steel,19.0,41.0,3100.0
Tag Heuer Carrera Steel Watch (WAR201C-1),M,Tagheuer,steel,17.0,40.0,1700.0
Gucci Gold Plated Watch (126.4),M,Gucci,other,20.0,18.0,320.0
Oris Ackers Steel Watch (7766),M,Oris,black,20.0,41.0,1000.0
Tag Heuer Aquaracer Titanium Watch (WAY208F),M,Tagheuer,other,16.0,44.0,3000.0
IWC Portuguese Chrono Steel Watch,M,IWC,black,18.0,45.0,8000.0
Gucci Steel Watch (1400L),F,Gucci,steel,16.0,25.0,120.0
Breitling Superocean 2 Steel Watch (A17367),M,BREITLING,steel,17.0,44.0,3100.0
